,Name,Artist,Weeks.on.chart,Peak.position
464,Butterfly Fly Away,"Miley Cyrus, Billy Ray Cyrus",3.0,56.0
465,Buttons,The Pussycat Dolls,30.0,3.0
466,Buy Me A Boat,Chris Janson,20.0,41.0
467,By The Way,Red Hot Chili Peppers,20.0,34.0
468,By Your Side,Sade,11.0,75.0
469,Bye Bye,Mariah Carey,12.0,19.0
470,Cake By The Ocean,Dnce,46.0,9.0
471,California King Bed,Rihanna,14.0,37.0
472,Californication,Red Hot Chili Peppers,19.0,69.0
473,Call It What You Want,Taylor Swift,2.0,27.0
474,Call Me,Tweet,19.0,31.0
475,Call Me Maybe,Carly Rae Jepsen,50.0,1.0
476,Call Me When You'Re Sober,Evanescence,22.0,10.0
477,Call Out My Name,The Weeknd,18.0,4.0
478,Call You Mine,"The Chainsmokers, Bebe Rexha",4.0,67.0
479,Callaita,"Bad Bunny, Tainy",3.0,68.0
481,Calling All Angels,Train,29.0,19.0
482,Calling All The Monsters,China Anne Mcclain,2.0,86.0
483,Calling My Spirit,Kodak Black,17.0,46.0
484,Came Here To Forget,Blake Shelton,19.0,36.0
485,Can'T Be Broken,Lil Wayne,2.0,17.0
486,Can'T Be Friends,Trey Songz,20.0,43.0
487,Can'T Be Tamed,Miley Cyrus,10.0,8.0
488,Can'T Feel My Face,The Weeknd,41.0,1.0
489,Can'T Fight The Moonlight,Leann Rimes,42.0,11.0
490,Can'T Get You Out Of My Head,Kylie Minogue,20.0,7.0
491,Can'T Have Everything,Drake,2.0,82.0
492,Can'T Help But Wait,Trey Songz,24.0,14.0
493,Can'T Leave Without It,21 Savage,4.0,58.0
494,Can'T Let Go,Anthony Hamilton,19.0,71.0
495,Can'T Raise A Man,K. Michelle,7.0,94.0
496,Can'T Shake You,Gloriana,4.0,83.0
498,Can'T Stay,Dave Hollister,4.0,84.0
499,Can'T Stop,Red Hot Chili Peppers,20.0,57.0
500,Can'T Stop Dancin',Becky G,3.0,88.0
501,Can'T Tell Me Nothing,Kanye West,19.0,41.0
503,Candy,Mandy Moore,20.0,41.0
504,Candy Paint,Post Malone,21.0,34.0
505,Candyman,Christina Aguilera,17.0,25.0
506,Capsize,"Frenship, Emily Warren",10.0,78.0
508,Careless Whisper,Seether,18.0,63.0
509,Carlene,Phil Vassar,20.0,45.0
510,Carolina,Parmalee,19.0,36.0
511,Carry On,Fun.,20.0,20.0
514,Castaway,Zac Brown Band,2.0,96.0
